Ulasan;Rating;Varian;L1;L2;L3;sentiment
pengiriman lama padahal udah pake yg instan baru sampe jam stengah 6;1;Hitam;n;n;n;negative
HP berfungsi dengan baik;5;Hijau;p;p;p;positive
barang sesuai deskripsi iklan;5;Biru;p;p;p;positive
terimakasih paket diterima dengan baik. karna utk hadiah jadi saya tidak bisa memeriksa atau membukanya.;5;Biru;p;p;p;positive
Original 100%, packingan tebel dan aman;5;Biru;p;p;p;positive
Barangnya sudah sampai, layak untuk harga segitu. pengirimannya juga cepet. terimakasih Advan, pokoknya puas;5;Biru;p;p;p;positive
barang sesuai deskripsi. recommended;5;Hijau;p;p;p;positive
barang sudah di terima msih segel wraping tebel kartu garansi lengkap semua, Best pokona mh;5;Hijau;p;p;p;positive
kualitas barang sesuai dengan harganya. lama di perusahaan pengiriman,.mending selller ganti ekspedisinya aja;5;Biru;n;p;p;positive
pengiriman cepat, barang nya juga bagus, berfungsi dengan baik;5;Hijau;p;p;p;positive
barang baik. pengiriman baik.;5;Hitam;p;p;p;positive
Sesuai pesanan dan berfungsi dengan normal...;5;Hitam;p;p;p;positive
Barangnya masih disegel, ada garansi resmi jugaaa, pengiriman cepat penjual juga ramah, sudah jadi toko langganan juga;5;Hijau;p;p;p;positive
puas banget, barangnya bagus;5;Hijau;p;p;p;positive
Barang diterima dengan baik;5;Hitam;p;p;p;positive
bagus, trima kasih;5;Biru;p;p;p;positive
kualitas ok bgt;5;Hitam;p;p;p;positive
Barang saya terima dalam keadaan masih tersegel, isinya lengkap (hp, baterai, soft case, charger, kabel), ada kartu garansi, dan telah saya coba hp ini berfungsi dengan b... ;5;Biru;p;p;p;positive
Barang masih segel, dapat bonus simcard tsel juga. HPnya cocok buat jadi HP kedua untuk komunikasi (WA, sms, dan tlp). Gak cocok untuk main game dan apps lain karena fpsn... ;5;Hitam;p;p;p;positive
Barang sampe dgn selamat, hp ini cocok untuk hp toko buat kasir pemakaian ringan.   Gak ada masalah dgn produk, hanya saja pelayanan admin kurang. Saya cuma tanya pesanan... ;4;Hitam;p;p;p;positive
cepat ringkih tombolnya,yah ada duit ad barang;4;Biru;p;n;n;negative
Semuanya Original, barangnya sesuai sama yang saya diharapkan, keren banget hpnya, TOP deh;5;Biru;p;p;p;positive
oke;5;Biru;p;p;p;positive
"pengiriman cepat ✅
packing ✅
kondisi barang ✅
🆗 terima kasih";5;Biru;p;p;p;positive
Barang sudah mendarat dg selamat..thanks;4;Biru;p;p;p;positive
barang original;5;Hijau;p;p;p;positive
Barang baru masih disegel, dapet bonus case juga, mantap lah untuk hp entry level ini, semoga awet, sukses terus advan 👍;5;Biru;p;p;p;positive
Udah di tes semua oke. Cuma sayang bundling nomor telkomselnya udah hangus;5;Hitam;p;n;n;negative
oke;5;Biru;p;p;p;positive
"Original, top unit hpnya.
kelengkapan sesuai dengan deskripsi seller.
Terimakasih seller";5;Hitam;p;p;p;positive
barang sesuai, mantaap. terimakasih;5;Biru;p;p;p;positive
pengiriman cepat;5;Hitam;p;p;p;positive
mksih dh amanah🙏;5;Hijau;p;p;p;positive
